,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_name,age,album_name
77,0.78,0.361,0.0,0.6862416107382551,1,0.048,0.75,7.14e-06,0.108,0.163,0.7512506667820018,210240,the 1,0.17547000895255147,xx
78,0.612,0.58,0.0,0.567332944266122,0,0.0419,0.525,0.000414,0.26,0.534,0.7157238008736647,239560,cardigan,0.17547000895255147,xx
79,0.688,0.653,0.6363636363636364,0.568354245695944,1,0.0403,0.481,0.00414,0.106,0.701,0.7804052592880932,231000,the last great american dynasty,0.17547000895255147,xx
80,0.31,0.374,0.5454545454545454,0.5752115552961774,1,0.0275,0.761,2.46e-05,0.11,0.16,0.5207098885573,285640,exile (feat. Bon Iver),0.17547000895255147,xx
82,0.549,0.417,0.6363636363636364,0.45849139188794863,1,0.035,0.686,1.9e-06,0.0604,0.347,0.643970849011721,208973,mirrorball,0.17547000895255147,xx
83,0.602,0.494,0.36363636363636365,0.40385176539247153,1,0.0277,0.888,2.59e-05,0.0902,0.374,0.5892514741288584,208907,seven,0.17547000895255147,xx
84,0.387,0.634,0.45454545454545453,0.5199153778815291,1,0.0363,0.553,6.93e-05,0.0931,0.42,0.5698318988509724,261920,august,0.17547000895255147,xx
81,0.456,0.265,0.0,0.414794280711993,1,0.0328,0.814,0.0,0.0679,0.112,0.7153705866239926,255893,my tears ricochet,0.17547000895255147,xx
86,0.529,0.304,0.9090909090909091,0.42179749051648674,1,0.0356,0.862,0.0,0.108,0.44,0.6780055649265458,190893,illicit affairs,0.17547000895255147,xx
87,0.651,0.459,0.36363636363636365,0.3808724832214765,0,0.0507,0.859,6.63e-05,0.105,0.454,0.5478028631979586,252880,invisible string,0.17547000895255147,xx
88,0.593,0.7,0.2727272727272727,0.5349430989203385,1,0.0492,0.67,6.77e-06,0.116,0.451,0.7584447039487912,237267,mad woman,0.17547000895255147,xx
89,0.317,0.254,0.09090909090909091,0.19477677268748175,1,0.0286,0.727,0.000326,0.0867,0.103,0.5855679540965645,289747,epiphany,0.17547000895255147,xx
90,0.595,0.376,0.0,0.5531076743507441,1,0.0256,0.589,0.0,0.0989,0.476,0.5928232631229907,294520,betty,0.17547000895255147,xx
91,0.644,0.284,0.45454545454545453,0.25313685439159617,1,0.0821,0.916,1.5e-05,0.0909,0.328,0.7879056557530671,234000,peace,0.17547000895255147,xx
92,0.676,0.178,0.7272727272727273,0.09768018675226148,1,0.0394,0.964,7.9e-06,0.135,0.404,0.6753384369188185,220040,hoax,0.17547000895255147,xx
85,0.511,0.478,0.8181818181818182,0.47505106507149114,1,0.0322,0.312,2.3e-05,0.147,0.408,0.7367616740913744,195107,this is me trying,0.17547000895255147,xx
66,0.559,0.334,1.0,0.40968777356288294,1,0.0376,0.87,0.0,0.114,0.211,0.6870125282931823,315147,happiness,0.16584601611459265,Evermore
60,0.392,0.574,0.6363636363636364,0.5218850306390429,1,0.17,0.833,0.00179,0.145,0.529,0.5393581592491675,214707,willow,0.16584601611459265,Evermore
61,0.462,0.24,0.0,0.31164283629997086,1,0.0377,0.92,0.0,0.113,0.32,0.8644846676181827,244000,champagne problems,0.16584601611459265,Evermore
62,0.512,0.462,0.8181818181818182,0.42734169827837765,1,0.0408,0.83,0.166,0.121,0.353,0.6508657353344002,185320,gold rush,0.16584601611459265,Evermore
63,0.575,0.434,0.45454545454545453,0.5949810329734462,1,0.0312,0.735,6.59e-05,0.105,0.348,0.7729264881853437,229840,‘tis the damn season,0.16584601611459265,Evermore
64,0.316,0.361,0.8181818181818182,0.43536620951269334,1,0.0488,0.878,2.67e-05,0.0797,0.221,0.517156120698355,245440,tolerate it,0.16584601611459265,Evermore
65,0.546,0.613,0.6363636363636364,0.6390428946600525,0,0.0264,0.418,0.0,0.103,0.535,0.5318000951515938,215627,"no body, no crime (feat. HAIM)",0.16584601611459265,Evermore
67,0.605,0.488,0.36363636363636365,0.5855704697986578,1,0.0264,0.696,0.0,0.129,0.354,0.6793967965630091,225880,dorothea,0.16584601611459265,Evermore
72,0.535,0.561,0.45454545454545453,0.34578348409687776,1,0.0484,0.876,0.000136,0.115,0.287,0.5933891267678734,257773,marjorie,0.16584601611459265,Evermore
69,0.515,0.545,0.18181818181818182,0.5159031222643712,1,0.0353,0.855,1.97e-05,0.0921,0.535,0.5672692934273316,260440,ivy,0.16584601611459265,Evermore
70,0.604,0.517,0.0,0.5350889991245988,1,0.0347,0.768,0.000155,0.123,0.511,0.7082342170898029,275040,cowboy like me,0.16584601611459265,Evermore
71,0.546,0.73,0.0,0.630653632915086,1,0.0417,0.66,0.179,0.0972,0.573,0.8161015238671916,215920,long story short,0.16584601611459265,Evermore
73,0.689,0.704,0.8181818181818182,0.40385176539247153,1,0.245,0.835,4.83e-06,0.134,0.92,0.794436515144962,180653,closure,0.16584601611459265,Evermore
