,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_name,age,album_name
157,0.395,0.852,0.45454545454545453,0.8723455681778944,1,0.37,0.0657,0.0,0.262,0.112,0.5301621564901945,311960,Views,0.5124158249158249,Views
158,0.891,0.628,0.18181818181818182,0.8044266427264253,1,0.0551,0.00258,0.00019,0.0504,0.552,0.7495362406826537,267067,Hotline Bling,0.5124158249158249,Views
149,0.59,0.468,0.9090909090909091,0.693242636649287,0,0.185,0.0789,0.0,0.101,0.349,0.589594552561263,245227,Controlla,0.5124158249158249,Views
126,0.609,0.229,1.0,0.6491488553572046,0,0.0333,0.558,0.0413,0.113,0.19,0.6630465333288362,186293,4422,0.44591750841750843,f
125,0.726,0.535,0.6363636363636364,0.806463865198025,0,0.0476,0.0533,1.38e-05,0.0984,0.375,0.6112553917876189,216558,Blem,0.44591750841750843,f
124,0.839,0.521,0.6363636363636364,0.7150996167259418,1,0.166,0.245,0.00545,0.607,0.33,0.640954725847977,205163,Madiba Riddim,0.44591750841750843,f
120,0.913,0.608,0.9090909090909091,0.8397845378267325,0,0.234,0.0671,0.0,0.533,0.578,0.6074928515483002,149569,No Long Talk,0.44591750841750843,f
122,0.735,0.373,1.0,0.7141327992817929,1,0.104,0.762,0.00202,0.288,0.237,0.7049966084672146,107673,Jorja Interlude,0.44591750841750843,f
121,0.809,0.463,1.0,0.6830910534857223,1,0.0396,0.256,0.085,0.109,0.364,0.6633950554824783,298941,Passionfruit,0.44591750841750843,f
127,0.877,0.391,0.09090909090909091,0.7929284209799385,1,0.063,0.0317,0.000502,0.0945,0.122,0.7347409131280425,189230,Gyalchester,0.44591750841750843,f
123,0.781,0.721,0.45454545454545453,0.7605745657953801,0,0.0514,0.0945,0.391,0.104,0.849,0.7047342799644731,250337,Get It Together,0.44591750841750843,f
128,0.745,0.822,0.6363636363636364,0.8565311971271711,1,0.252,0.0103,4.2e-06,0.155,0.415,0.5687806596437579,143214,Skepta Interlude,0.44591750841750843,f
133,0.875,0.6,0.09090909090909091,0.8405096509098443,1,0.0435,0.0189,0.0143,0.132,0.0906,0.6934016886460476,162638,KMT,0.44591750841750843,f
130,0.903,0.439,0.7272727272727273,0.6680363247125445,1,0.397,0.0407,0.0,0.138,0.532,0.7650735831450189,307593,Sacrifices,0.44591750841750843,f
131,0.766,0.234,1.0,0.8154414557508374,0,0.159,0.332,0.00156,0.358,0.256,0.606814544991212,153725,Nothings Into Somethings,0.44591750841750843,f
132,0.766,0.283,0.7272727272727273,0.7192431200580091,0,0.0846,0.111,0.0172,0.115,0.144,0.6074066578973997,219692,Teenage Fever,0.44591750841750843,f
134,0.526,0.583,0.36363636363636365,0.7592279272124581,1,0.376,0.699,0.0,0.372,0.378,0.5804130549653164,305374,Lose You,0.44591750841750843,f
135,0.856,0.572,0.09090909090909091,0.7848831186768414,1,0.373,0.0136,1.55e-06,0.121,0.454,0.5527111650758316,228438,Can't Have Everything,0.44591750841750843,f
136,0.688,0.384,0.8181818181818182,0.7712440868754532,0,0.375,0.2,0.0,0.708,0.432,0.8512147683451944,206120,Glow,0.44591750841750843,f
137,0.468,0.266,0.0,0.6919305272607991,1,0.13,0.348,9.55e-06,0.209,0.222,0.818221337800413,368036,Since Way Back,0.44591750841750843,f
138,0.928,0.481,0.8181818181818182,0.7530817306032251,0,0.287,0.105,0.0,0.176,0.613,0.7459423401950974,210937,Fake Love,0.44591750841750843,f
129,0.925,0.443,0.09090909090909091,0.7922378370912608,1,0.264,0.0172,0.0,0.276,0.35,0.7537035163262017,236615,Portland,0.44591750841750843,f
119,0.736,0.491,0.9090909090909091,0.8379544905217362,0,0.439,0.0681,0.0,0.571,0.203,0.7758178091072961,218674,Free Smoke,0.44591750841750843,f
118,0.889,0.372,0.6363636363636364,0.721867338834985,0,0.357,0.013,0.0,0.184,0.123,0.7459048646947058,162800,Blue Tint,0.3474326599326599,Scorpion
116,0.657,0.571,0.18181818181818182,0.6436587134422154,1,0.139,0.11,0.00123,0.0735,0.622,0.873175411574683,207307,Ratchet Happy Birthday,0.3474326599326599,Scorpion
117,0.85,0.473,0.9090909090909091,0.8774904181485447,0,0.209,0.117,0.0103,0.108,0.38,0.5639875431436698,157605,That’s How You Feel,0.3474326599326599,Scorpion
99,0.555,0.596,0.8181818181818182,0.7620593211560375,0,0.375,0.133,0.0,0.123,0.145,0.5335199613252836,136187,Survival,0.3474326599326599,Scorpion
100,0.912,0.412,0.6363636363636364,0.7971409827008735,1,0.123,0.0165,0.0126,0.104,0.423,0.8245509498165574,238614,Nonstop,0.3474326599326599,Scorpion
101,0.758,0.474,0.09090909090909091,0.7748351230965781,1,0.147,0.0152,0.0,0.116,0.0542,0.5287868056258221,184960,Elevate,0.3474326599326599,Scorpion
102,0.414,0.677,0.09090909090909091,0.8991402230585961,1,0.254,0.0248,0.0,0.0793,0.0853,0.8902754824033787,302173,Emotionless,0.3474326599326599,Scorpion
104,0.899,0.586,1.0,0.8043230551431235,0,0.343,0.279,0.0,0.0836,0.492,0.805884403071492,214467,I'm Upset,0.3474326599326599,Scorpion
105,0.527,0.689,0.18181818181818182,0.804184938365388,1,0.741,0.161,0.0,0.498,0.31,0.8828440906757208,195720,8 Out Of 10,0.3474326599326599,Scorpion
106,0.754,0.575,0.36363636363636365,0.7861261696764614,0,0.0682,0.045,0.00131,0.276,0.491,0.5660674334154047,205147,Mob Ties,0.3474326599326599,Scorpion
103,0.754,0.449,0.6363636363636364,0.7578812886295363,1,0.109,0.0332,8.29e-05,0.552,0.357,0.5329390910692134,198973,God's Plan,0.3474326599326599,Scorpion
108,0.486,0.849,0.09090909090909091,0.8883671143952212,1,0.246,0.0481,0.0,0.143,0.519,0.8136942973531054,216333,Sandra’s Rose,0.3474326599326599,Scorpion
